;;;;
;Description;Value;Unit;Notes
;Sum of loads and the sum of support forces;;;
;Sum of loads in X;0.00;kN;
;Sum of support forces in X;0.00;kN;
;Sum of loads in Y;0.00;kN;
;Sum of support forces in Y;0.00;kN;
;Sum of loads in Z;5.00;kN;
;Sum of support forces in Z;5.00;kN;Deviation: 0.00 %
;;;;
;Resultant of reactions;;;
;Resultant of reactions about X;0.00;kNm;At center of gravity of model (1.500, 0.000, 0.000 m)
;Resultant of reactions about Y;-7.50;kNm;At center of gravity of model
;Resultant of reactions about Z;0.00;kNm;At center of gravity of model
;;;;
;Maximum deformations;;;
;Maximum displacement in X-direction;0.0;mm;
;Maximum displacement in Y-direction;0.0;mm;
;Maximum displacement in Z-direction;0.0;mm;
;Maximum vectorial displacement;0.0;mm;
;Maximum rotation about X-axis;0.0;mrad;
;Maximum rotation about Y-axis;0.0;mrad;
;Maximum rotation about Z-axis;0.0;mrad;
;;;;
;Calculation statistic;;;
;Maximum value of element of stiffness matrix on diagonal;3.19e+09;--;
;Minimum value of element of stiffness matrix on diagonal;14904.60;--;
;Stiffness matrix determinant;1.04e+335;--;
;Infinity Norm;6.38e+09;--;
;;;;
;Static Analysis Settings No. 1 - 1. Ordnung;;;
;Analysis type;Geometrically linear;;
;Modify loading by multiplier factor;;;
;Asymmetric direct solver;;;
;Method for Equation System;Direct;;
;Plate bending theory;Mindlin;;
